sensor_temp_c,time_utc,channel,par_uV,logger,par_umolm2s,structure
35.5,2023-08-10 10:25:00,4,48375,1,241.875,1
35.5,2023-08-10 10:25:00,5,20843,1,104.215,1
35.5,2023-08-10 10:25:00,6,19281,1,96.405,1
35.5,2023-08-10 10:25:00,7,20687,1,103.435,1
35.5,2023-08-10 10:25:00,8,104843,1,524.215,1
35.5,2023-08-10 10:25:00,9,17281,1,86.405,1
35.5,2023-08-10 10:25:00,10,17406,1,87.03,1
35.5,2023-08-10 10:25:00,11,274562,1,1372.81,1
35.5,2023-08-10 10:25:00,12,282250,1,1411.25,1
35.5,2023-08-10 10:26:00,1,24468,1,122.34,1
35.5,2023-08-10 10:26:00,2,86906,1,434.53,1
35.5,2023-08-10 10:26:00,3,24562,1,122.81,1
35.5,2023-08-10 10:26:00,4,39875,1,199.375,1
35.5,2023-08-10 10:26:00,5,20843,1,104.215,1
35.5,2023-08-10 10:26:00,6,19750,1,98.75,1
35.5,2023-08-10 10:26:00,7,20656,1,103.28,1
35.5,2023-08-10 10:26:00,8,25812,1,129.06,1
35.5,2023-08-10 10:26:00,9,17312,1,86.56,1
35.5,2023-08-10 10:26:00,10,19593,1,97.965,1
35.5,2023-08-10 10:26:00,11,200906,1,1004.53,1
35.5,2023-08-10 10:26:00,12,305937,1,1529.685,1
35.5,2023-08-10 10:27:00,1,24468,1,122.34,1
35.5,2023-08-10 10:27:00,2,58468,1,292.34,1
35.5,2023-08-10 10:27:00,3,24562,1,122.81,1
35.5,2023-08-10 10:27:00,4,31343,1,156.715,1
35.5,2023-08-10 10:27:00,5,20250,1,101.25,1
35.5,2023-08-10 10:27:00,6,19656,1,98.28,1
35.5,2023-08-10 10:27:00,7,20625,1,103.125,1
35.5,2023-08-10 10:27:00,8,23125,1,115.625,1
35.5,2023-08-10 10:27:00,9,17281,1,86.405,1
35.5,2023-08-10 10:27:00,10,18093,1,90.465,1
35.5,2023-08-10 10:27:00,11,67250,1,336.25,1
35.5,2023-08-10 10:27:00,12,305406,1,1527.03,1
35.5,2023-08-10 10:28:00,1,24406,1,122.03,1
35.5,2023-08-10 10:28:00,2,26187,1,130.935,1
35.5,2023-08-10 10:28:00,3,24531,1,122.655,1
35.5,2023-08-10 10:28:00,4,29031,1,145.155,1
35.5,2023-08-10 10:28:00,5,20687,1,103.435,1
35.5,2023-08-10 10:28:00,6,19656,1,98.28,1
35.5,2023-08-10 10:28:00,7,20593,1,102.965,1
35.5,2023-08-10 10:28:00,8,23031,1,115.155,1
35.5,2023-08-10 10:28:00,9,17250,1,86.25,1
35.5,2023-08-10 10:28:00,10,16312,1,81.56,1
35.5,2023-08-10 10:28:00,11,33250,1,166.25,1
35.5,2023-08-10 10:28:00,12,306812,1,1534.06,1
35.5,2023-08-10 10:29:00,1,24437,1,122.185,1
35.5,2023-08-10 10:29:00,2,52750,1,263.75,1
35.5,2023-08-10 10:29:00,3,24562,1,122.81,1
35.5,2023-08-10 10:29:00,4,36906,1,184.53,1
35.5,2023-08-10 10:29:00,5,20562,1,102.81,1
35.5,2023-08-10 10:29:00,6,19718,1,98.59,1
35.5,2023-08-10 10:29:00,7,20531,1,102.655,1
35.5,2023-08-10 10:29:00,8,22968,1,114.84,1
35.5,2023-08-10 10:29:00,9,17250,1,86.25,1
35.5,2023-08-10 10:29:00,10,15125,1,75.625,1
35.5,2023-08-10 10:29:00,11,31468,1,157.34,1
35.5,2023-08-10 10:29:00,12,307500,1,1537.5,1
35.5,2023-08-10 10:30:00,1,27437,1,137.185,1
35.5,2023-08-10 10:30:00,2,66750,1,333.75,1
35.5,2023-08-10 10:30:00,3,24562,1,122.81,1
35.5,2023-08-10 10:30:00,4,46906,1,234.53,1
35.5,2023-08-10 10:30:00,5,20531,1,102.655,1
35.5,2023-08-10 10:30:00,6,19687,1,98.435,1
35.5,2023-08-10 10:30:00,7,20468,1,102.34,1
35.5,2023-08-10 10:30:00,8,25687,1,128.435,1
35.5,2023-08-10 10:30:00,9,17250,1,86.25,1
35.5,2023-08-10 10:30:00,10,16593,1,82.965,1
35.5,2023-08-10 10:30:00,11,18062,1,90.31,1
35.5,2023-08-10 10:30:00,12,308093,1,1540.465,1
35.5,2023-08-10 10:31:00,1,31843,1,159.215,1
35.5,2023-08-10 10:31:00,2,43937,1,219.685,1
35.5,2023-08-10 10:31:00,3,24625,1,123.125,1
35.5,2023-08-10 10:31:00,4,71250,1,356.25,1
35.5,2023-08-10 10:31:00,5,20468,1,102.34,1
35.5,2023-08-10 10:31:00,6,19593,1,97.965,1
35.5,2023-08-10 10:31:00,7,20468,1,102.34,1
35.5,2023-08-10 10:31:00,8,23437,1,117.185,1
35.5,2023-08-10 10:31:00,9,17218,1,86.09,1
35.5,2023-08-10 10:31:00,10,16468,1,82.34,1
35.5,2023-08-10 10:31:00,11,17968,1,89.84,1
35.5,2023-08-10 10:31:00,12,307781,1,1538.905,1
35.25,2023-08-10 10:32:00,1,25343,1,126.715,1
35.25,2023-08-10 10:32:00,2,23500,1,117.5,1
35.25,2023-08-10 10:32:00,3,24375,1,121.875,1
35.25,2023-08-10 10:32:00,4,64750,1,323.75,1
35.25,2023-08-10 10:32:00,5,20468,1,102.34,1
35.25,2023-08-10 10:32:00,6,19562,1,97.81,1
35.25,2023-08-10 10:32:00,7,20406,1,102.03,1
35.25,2023-08-10 10:32:00,8,25000,1,125,1
35.25,2023-08-10 10:32:00,9,17218,1,86.09,1
35.25,2023-08-10 10:32:00,10,16281,1,81.405,1
35.25,2023-08-10 10:32:00,11,18000,1,90,1
35.25,2023-08-10 10:32:00,12,307562,1,1537.81,1
35.25,2023-08-10 10:33:00,1,32000,1,160,1
35.25,2023-08-10 10:33:00,2,23125,1,115.625,1
35.25,2023-08-10 10:33:00,3,24281,1,121.405,1
35.25,2023-08-10 10:33:00,4,38687,1,193.435,1
35.25,2023-08-10 10:33:00,5,20437,1,102.185,1
35.25,2023-08-10 10:33:00,6,19593,1,97.965,1
35.25,2023-08-10 10:33:00,7,20437,1,102.185,1
35.25,2023-08-10 10:33:00,8,25156,1,125.78,1
35.25,2023-08-10 10:33:00,9,17250,1,86.25,1
35.25,2023-08-10 10:33:00,10,16250,1,81.25,1
35.25,2023-08-10 10:33:00,11,19000,1,95,1
35.25,2023-08-10 10:33:00,12,308468,1,1542.34,1
35,2023-08-10 10:34:00,1,43937,1,219.685,1
35,2023-08-10 10:34:00,2,23843,1,119.215,1
35,2023-08-10 10:34:00,3,24250,1,121.25,1
35,2023-08-10 10:34:00,4,26062,1,130.31,1
35,2023-08-10 10:34:00,5,20500,1,102.5,1
35,2023-08-10 10:34:00,6,19562,1,97.81,1
35,2023-08-10 10:34:00,7,20468,1,102.34,1
35,2023-08-10 10:34:00,8,22750,1,113.75,1
35,2023-08-10 10:34:00,9,17281,1,86.405,1
35,2023-08-10 10:34:00,10,22812,1,114.06,1
35,2023-08-10 10:34:00,11,18406,1,92.03,1
35,2023-08-10 10:34:00,12,308375,1,1541.875,1
34.75,2023-08-10 10:35:00,1,33062,1,165.31,1
34.75,2023-08-10 10:35:00,2,23281,1,116.405,1
34.75,2023-08-10 10:35:00,3,24218,1,121.09,1
34.75,2023-08-10 10:35:00,4,132343,1,661.715,1
34.75,2023-08-10 10:35:00,5,20375,1,101.875,1
34.75,2023-08-10 10:35:00,6,19562,1,97.81,1
34.75,2023-08-10 10:35:00,7,20375,1,101.875,1
34.75,2023-08-10 10:35:00,8,22593,1,112.965,1
34.75,2023-08-10 10:35:00,9,17250,1,86.25,1
34.75,2023-08-10 10:35:00,10,16500,1,82.5,1
34.75,2023-08-10 10:35:00,11,19906,1,99.53,1
34.75,2023-08-10 10:35:00,12,308906,1,1544.53,1
34.5,2023-08-10 10:36:00,1,52937,1,264.685,1
34.5,2023-08-10 10:36:00,2,23187,1,115.935,1
34.5,2023-08-10 10:36:00,3,24250,1,121.25,1
34.5,2023-08-10 10:36:00,4,60812,1,304.06,1
34.5,2023-08-10 10:36:00,5,20406,1,102.03,1
34.5,2023-08-10 10:36:00,6,19531,1,97.655,1
34.5,2023-08-10 10:36:00,7,20625,1,103.125,1
34.5,2023-08-10 10:36:00,8,22562,1,112.81,1
34.5,2023-08-10 10:36:00,9,17343,1,86.715,1
34.5,2023-08-10 10:36:00,10,36593,1,182.965,1
34.5,2023-08-10 10:36:00,11,30625,1,153.125,1
34.5,2023-08-10 10:36:00,12,309250,1,1546.25,1
34.5,2023-08-10 10:37:00,1,61437,1,307.185,1
34.5,2023-08-10 10:37:00,2,23218,1,116.09,1
34.5,2023-08-10 10:37:00,3,24281,1,121.405,1
34.5,2023-08-10 10:37:00,4,60750,1,303.75,1
34.5,2023-08-10 10:37:00,5,20468,1,102.34,1
34.5,2023-08-10 10:37:00,6,19531,1,97.655,1
34.5,2023-08-10 10:37:00,7,21625,1,108.125,1
34.5,2023-08-10 10:37:00,8,22562,1,112.81,1
34.5,2023-08-10 10:37:00,9,17375,1,86.875,1
34.5,2023-08-10 10:37:00,10,21718,1,108.59,1
34.5,2023-08-10 10:37:00,11,34437,1,172.185,1
34.5,2023-08-10 10:37:00,12,310312,1,1551.56,1
34.25,2023-08-10 10:38:00,1,59843,1,299.215,1
34.25,2023-08-10 10:38:00,2,23250,1,116.25,1
34.25,2023-08-10 10:38:00,3,24343,1,121.715,1
34.25,2023-08-10 10:38:00,4,92875,1,464.375,1
34.25,2023-08-10 10:38:00,5,20500,1,102.5,1
34.25,2023-08-10 10:38:00,6,19562,1,97.81,1
34.25,2023-08-10 10:38:00,7,20437,1,102.185,1
34.25,2023-08-10 10:38:00,8,22593,1,112.965,1
34.25,2023-08-10 10:38:00,9,17375,1,86.875,1
34.25,2023-08-10 10:38:00,10,16406,1,82.03,1
34.25,2023-08-10 10:38:00,11,42812,1,214.06,1
34.25,2023-08-10 10:38:00,12,310375,1,1551.875,1
34,2023-08-10 10:39:00,1,47468,1,237.34,1
34,2023-08-10 10:39:00,2,23281,1,116.405,1
34,2023-08-10 10:39:00,3,24343,1,121.715,1
34,2023-08-10 10:39:00,4,112656,1,563.28,1
34,2023-08-10 10:39:00,5,20468,1,102.34,1
34,2023-08-10 10:39:00,6,19593,1,97.965,1
34,2023-08-10 10:39:00,7,20437,1,102.185,1
34,2023-08-10 10:39:00,8,25687,1,128.435,1
34,2023-08-10 10:39:00,9,17437,1,87.185,1
34,2023-08-10 10:39:00,10,16375,1,81.875,1
34,2023-08-10 10:39:00,11,52343,1,261.715,1
34,2023-08-10 10:39:00,12,310156,1,1550.78,1
33.75,2023-08-10 10:40:00,1,27625,1,138.125,1
33.75,2023-08-10 10:40:00,2,23375,1,116.875,1
33.75,2023-08-10 10:40:00,3,24343,1,121.715,1
33.75,2023-08-10 10:40:00,4,52843,1,264.215,1
33.75,2023-08-10 10:40:00,5,20531,1,102.655,1
33.75,2023-08-10 10:40:00,6,19593,1,97.965,1
33.75,2023-08-10 10:40:00,7,20437,1,102.185,1
33.75,2023-08-10 10:40:00,8,24218,1,121.09,1
33.75,2023-08-10 10:40:00,9,17406,1,87.03,1
33.75,2023-08-10 10:40:00,10,16375,1,81.875,1
33.75,2023-08-10 10:40:00,11,96031,1,480.155,1
33.75,2023-08-10 10:40:00,12,310625,1,1553.125,1
33.75,2023-08-10 10:41:00,1,26750,1,133.75,1
33.75,2023-08-10 10:41:00,2,39406,1,197.03,1
33.75,2023-08-10 10:41:00,3,24343,1,121.715,1
33.75,2023-08-10 10:41:00,4,26562,1,132.81,1
33.75,2023-08-10 10:41:00,5,20531,1,102.655,1
33.75,2023-08-10 10:41:00,6,19625,1,98.125,1
33.75,2023-08-10 10:41:00,7,20437,1,102.185,1
33.75,2023-08-10 10:41:00,8,22562,1,112.81,1
33.75,2023-08-10 10:41:00,9,17406,1,87.03,1
33.75,2023-08-10 10:41:00,10,16375,1,81.875,1
33.75,2023-08-10 10:41:00,11,204062,1,1020.31,1
33.75,2023-08-10 10:41:00,12,310468,1,1552.34,1
33.5,2023-08-10 10:42:00,1,24562,1,122.81,1
33.5,2023-08-10 10:42:00,2,45156,1,225.78,1
33.5,2023-08-10 10:42:00,3,24343,1,121.715,1
33.5,2023-08-10 10:42:00,4,27312,1,136.56,1
33.5,2023-08-10 10:42:00,5,20531,1,102.655,1
33.5,2023-08-10 10:42:00,6,19625,1,98.125,1
33.5,2023-08-10 10:42:00,7,20437,1,102.185,1
33.5,2023-08-10 10:42:00,8,22562,1,112.81,1
33.5,2023-08-10 10:42:00,9,17437,1,87.185,1
33.5,2023-08-10 10:42:00,10,16625,1,83.125,1
33.5,2023-08-10 10:42:00,11,206656,1,1033.28,1
33.5,2023-08-10 10:42:00,12,310406,1,1552.03,1
33.5,2023-08-10 10:43:00,1,24531,1,122.655,1
33.5,2023-08-10 10:43:00,2,118031,1,590.155,1
33.5,2023-08-10 10:43:00,3,24437,1,122.185,1
33.5,2023-08-10 10:43:00,4,47500,1,237.5,1
33.5,2023-08-10 10:43:00,5,20468,1,102.34,1
33.5,2023-08-10 10:43:00,6,19625,1,98.125,1
33.5,2023-08-10 10:43:00,7,20437,1,102.185,1
33.5,2023-08-10 10:43:00,8,22562,1,112.81,1
33.5,2023-08-10 10:43:00,9,17437,1,87.185,1
33.5,2023-08-10 10:43:00,10,16687,1,83.435,1
33.5,2023-08-10 10:43:00,11,139437,1,697.185,1
33.5,2023-08-10 10:43:00,12,310343,1,1551.715,1
33.5,2023-08-10 10:44:00,1,24531,1,122.655,1
33.5,2023-08-10 10:44:00,2,163750,1,818.75,1
33.5,2023-08-10 10:44:00,3,27187,1,135.935,1
33.5,2023-08-10 10:44:00,4,67375,1,336.875,1
33.5,2023-08-10 10:44:00,5,20500,1,102.5,1
33.5,2023-08-10 10:44:00,6,19625,1,98.125,1
33.5,2023-08-10 10:44:00,7,20531,1,102.655,1
33.5,2023-08-10 10:44:00,8,22531,1,112.655,1
33.5,2023-08-10 10:44:00,9,17468,1,87.34,1
33.5,2023-08-10 10:44:00,10,16531,1,82.655,1
33.5,2023-08-10 10:44:00,11,76000,1,380,1
33.5,2023-08-10 10:44:00,12,311343,1,1556.715,1
33.25,2023-08-10 10:45:00,1,24562,1,122.81,1
33.25,2023-08-10 10:45:00,2,115218,1,576.09,1
33.25,2023-08-10 10:45:00,3,28468,1,142.34,1
33.25,2023-08-10 10:45:00,4,34312,1,171.56,1
33.25,2023-08-10 10:45:00,5,20500,1,102.5,1
33.25,2023-08-10 10:45:00,6,19656,1,98.28,1
33.25,2023-08-10 10:45:00,7,34812,1,174.06,1
33.25,2023-08-10 10:45:00,8,22531,1,112.655,1
33.25,2023-08-10 10:45:00,9,17468,1,87.34,1
33.25,2023-08-10 10:45:00,10,20125,1,100.625,1
33.25,2023-08-10 10:45:00,11,28375,1,141.875,1
33.25,2023-08-10 10:45:00,12,311375,1,1556.875,1
33.25,2023-08-10 10:46:00,1,25187,1,125.935,1
33.25,2023-08-10 10:46:00,2,23531,1,117.655,1
33.25,2023-08-10 10:46:00,3,24312,1,121.56,1
33.25,2023-08-10 10:46:00,4,27468,1,137.34,1
33.25,2023-08-10 10:46:00,5,20500,1,102.5,1
33.25,2023-08-10 10:46:00,6,19593,1,97.965,1
33.25,2023-08-10 10:46:00,7,31187,1,155.935,1
33.25,2023-08-10 10:46:00,8,22500,1,112.5,1
33.25,2023-08-10 10:46:00,9,17468,1,87.34,1
33.25,2023-08-10 10:46:00,10,108968,1,544.84,1
33.25,2023-08-10 10:46:00,11,24406,1,122.03,1
33.25,2023-08-10 10:46:00,12,311781,1,1558.905,1
33.25,2023-08-10 10:47:00,1,24625,1,123.125,1
33.25,2023-08-10 10:47:00,2,25156,1,125.78,1
33.25,2023-08-10 10:47:00,3,25343,1,126.715,1
33.25,2023-08-10 10:47:00,4,25781,1,128.905,1
33.25,2023-08-10 10:47:00,5,20468,1,102.34,1
33.25,2023-08-10 10:47:00,6,19625,1,98.125,1
33.25,2023-08-10 10:47:00,7,20437,1,102.185,1
33.25,2023-08-10 10:47:00,8,22437,1,112.185,1
33.25,2023-08-10 10:47:00,9,17500,1,87.5,1
33.25,2023-08-10 10:47:00,10,117593,1,587.965,1
33.25,2023-08-10 10:47:00,11,19218,1,96.09,1
33.25,2023-08-10 10:47:00,12,303781,1,1518.905,1
33.25,2023-08-10 10:48:00,1,24562,1,122.81,1
33.25,2023-08-10 10:48:00,2,25937,1,129.685,1
33.25,2023-08-10 10:48:00,3,24281,1,121.405,1
33.25,2023-08-10 10:48:00,4,25687,1,128.435,1
33.25,2023-08-10 10:48:00,5,20375,1,101.875,1
33.25,2023-08-10 10:48:00,6,19625,1,98.125,1
